title;link;election_type;date;speaker;place;text;order;strategy1;strategy2
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;O'DONNELL;New York City;Governor, would you like to respond and also answer the question about restrictions?;81;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;WALZ;New York City;Yeah. Well, the question got asked, and Donald Trump made the accusation that wasn't true about Minnesota. Well, let me tell you about this idea that there's diverse states. There's a young woman named Amber Thurmond. She happened to be in Georgia, a restrictive state. Because of that, she had to travel a long distance to North Carolina to try and get her care. Amber Thurman died in that journey back and forth. The fact of the matter is, how can we as a nation say that your life and your rights as basic as the right to control your own body is determined on geography? There's a very real chance, had Amber Thurman lived in Minnesota, she would be alive today. That's why the restoration of Roe v. Wade. When you listen to Vice President Harris talk about this subject, and you hear me talk about it, you hear us talking exactly the same. Donald Trump is trying to figure out how to get the political right of this. I agree with a lot of what Senator Vance said about what's happening. His running mate, though, does not. And that's the problem.;82;appeal;presentation
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;O'DONNELL;New York City;Governor, your time is up. Senator, let me ask you about that. He mentioned it was, I think, referring to a national ban. In the past, you have supported a Federal ban on abortion after 15 weeks. In fact, you said if someone can't support legislation like that, quote, you are making the United States the most barbaric pro-abortion regime anywhere in the entire world. My question is, why have you changed your position?;83;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;VANCE;New York City;Well, Norah, first of all, I never supported a national ban. I did during, when I was running for Senate in 2022, talk about setting some minimum national standard. For example, we have a partial birth abortion ban in this, in place in this country at the federal level. I don't think anybody's trying to get rid of that, or at least I hope not, though I know that Democrats have taken a very radical pro-abortion stance. But, Norah, you know, one of the things that changed is in the state of Ohio, we had a referendum in 2023, and the people of Ohio voted overwhelmingly, by the way, against my position. And I think that what I learned from that, Norah, is that we've got to do a better job at winning back people's trust. So many young women would love to have families. So many young women also see an unplanned pregnancy as something that's going to destroy their livelihood, destroy their education, destroy their relationships. And we have got to earn people's trust back. And that's why Donald Trump and I are committed to pursuing pro-family policies. Making childcare more accessible, making fertility treatments more accessible, because we've got to do a better job at that. And that's what real leadership is.;84;self-justification;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;O'DONNELL;New York City;Governor, your response?;85;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;WALZ;New York City;I'm going to respond on the pro-abortion piece of that. No, we're not. We're pro-women. We're pro-freedom to make your own choice. We know what the implications are to not be that women having miscarriages, women not getting the care, physicians feeling like they may be prosecuted for providing that care. And as far as making sure that we're educating our children and giving them options. Minnesota's a state with one of the lowest teen pregnancy rates. We understand that, too. We know that the options need to be available, and we make that true. We also make it, we're a top three state for the best place to raise children. But these two things to try and say that we're pro-children but we don't like this or, or you guys are pro-abortion, that's not the case at all. We are pro-freedoms for women to make their choices. And we're going, and Kamala Harris is making the case to make options for children more affordable. A $6,000 child tax credit. But we're not going to base out on the backs of making someone like Amber Thurmond drive 600 miles to try and get health care.;86;self-justification;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;O'DONNELL;New York City;Senator.;87;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;VANCE;New York City;May I respond to that? First of all, Governor, I agree with you. Amber Thurmond should still be alive. And there are a lot of people who should still be alive, and I certainly wish that she was. And maybe, you're free to disagree with me on this and explain this to me, but as I read the Minnesota law that you signed into law, the statute that you signed into law, it says that a doctor who presides over an abortion, where the baby survives, the doctor is under no obligation to provide lifesaving care to a baby who survives a botched late term abortion. That is, I think, whether it's not pro-choice or pro-abortion, that is fundamentally barbaric. And that's why I use that word, Norah, is because some of what we've seen, do you want to force catholic hospitals to perform abortions against their will? Because Kamala Harris has supported suing catholic nuns to violate their freedom of conscience? We can be a big and diverse country where we respect people's freedom of conscience. And make the country more pro-baby and pro-family. But please.;88;accusation;appeal
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;O'DONNELL;New York City;Yes, Governor, please respond.;89;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;WALZ;New York City;Look, this is one where there's always something there. This is a very simple proposition. These are women's decisions to make about their healthcare decisions and the physicians who know best when they need to do this, trying to distort the way a law is written, to try and make a point. That's not it at all.;90;self-justification;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;VANCE;New York City;What was I wrong about? Governor, please tell me. What was I wrong about?;91;self-justification;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;WALZ;New York City;That is not the way the law is written. Look, I've given.;92;self-justification;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;VANCE;New York City;But how.;93;no_strategy;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;WALZ;New York City;I've given this advice on a lot of things that getting involved, getting, that's been misread. And it was fact checked at the last debate. But the point on this is, is there's a continuation of these guys to try and tell women or to get involved. I use this line on this. Just mind your own business on this. Things worked best when Roe v. Wade was in place. When we do a restoration of Roe, that works best. That doesn't preclude us from increasing funding for children. It doesn't increase us from making sure that once that child's born, like in Minnesota, they get meals, they get early childhood education, they get healthcare. So the hiding behind we're going to do all these other things when you're not proposing them in your budget? Kamala Harris is proposing them. She's proposing all those things to make life easier for families.;94;presentation;accusation
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;VANCE;New York City;I asked a specific question, Governor. And you gave me a slogan as a response.;95;accusation;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;WALZ;New York City;It's not the case. It's not true. That's not what the law says. So they fact checked it with President Trump.;96;self-justification;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;O'DONNELL;New York City;Gentlemen, there's a lot to discuss. We have to move on. And we're going to be right back with much more of the CBS News vice presidential debate in just a moment. Welcome back to the CBS News vice presidential debate. We want to turn now to America's gun violence epidemic, the leading cause of death for children and teens in America is by firearms. Senator Vance, you oppose most gun legislation that Democrats claim would curb gun violence. You oppose red flag gun laws and legislation to ban certain semi automatic rifles, including AR-15s. So let me ask you. Earlier this year, for the first time, the parents of a school shooter were convicted of involuntary manslaughter and sentenced to ten years in prison. Do you think holding parents responsible could curb mass shootings? I'll give you two minutes.;97;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;VANCE;New York City;Yeah. Well, Norah, on that particular case, I don't know the full details, but I certainly trust local law enforcement and local authorities to make those decisions. I think in some cases the answer is going to be yes, and in some cases the answer is going to be no. And the details really matter here. Of course. For example, if a kid steals a gun, that's going to be different than if a parent hands over a gun knowing that their kid is potentially dangerous. Look, I want to just sort of speak as a father of three beautiful little kids, and our oldest is now in second grade. And like a lot of parents, we send our kids to school with such hope and such joy and such pride at their little faces on the first day of school. And we know, unfortunately, that a lot of kids are going to experience this terrible epidemic of gun violence. And of course, our hearts go out to the families that are affected by this terrible stuff. And we do have to do better. And I think that Governor Walz and I actually probably agree that we need to do better on this. The question is just how do we actually do it? Now, here's something that really bothers me and worries me about this epidemic of violence. The gross majority, close to 90%, and some of the statistics I've seen of the gun violence in this country is committed with illegally obtained firearms. And while we're on that topic, we know that thanks to Kamala Harris's open border, we've seen a massive influx in the number of illegal guns run by the Mexican drug cartel. So that number, the amount of illegal guns in our country is higher today than it was three and a half years ago. But what do we do about the schools? What do we do to protect our kids? And I think the answer is, and I say this not loving the answer because I don't want my kids to go to school and a school that feels unsafe or where there are visible signs of security. But I unfortunately think that we have to increase security in our schools. We have to make the doors lock better. We have to make the doors stronger. We've got to make the windows stronger. And of course, we've got to increase school resource officers because the idea that we can magically wave a wand and take guns out of the hands of bad guys, it just doesn't fit with recent experience. So we've got to make our schools safer, and I think we've got to have some common sense, bipartisan solutions for how to do that.;98;appeal;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;O'DONNELL;New York City;Governor, you have two minutes.;99;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;WALZ;New York City;Well, I think all the parents watching tonight, this is your biggest nightmare. Look, I got a, I got a 17 year old, and he witnessed a shooting at a community center playing volleyball. Those things don't leave you.;100;appeal;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;VANCE;New York City;Awful.;101;no_strategy;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;WALZ;New York City;As a member of Congress. I sat in my office surrounded by dozens of the Sandy Oak parents, and they were looking at my seven year old picture on the wall. Their seven year old were dead. And they were asking us to do something. And look, I'm a hunter. I own firearms. The Vice President is. We understand that the Second Amendment is there, but our first responsibility is to our kids to figure this out. In Minnesota, we've enacted enhanced red flag laws, enhanced background checks, and we can start to get data. But here's the problem. If we really want to solve this, we've got folks that won't allow research to be even done on gun violence. And this idea that we should just live with it. And I, here's what I do think and this is a good start to the conversation. I 100% believe that Senator Vance hates it when these kids, it's abhorrent, and it breaks your heart. I agree with that. But that's not far enough when we know there are things that worked. I've spent time in Finland and seen some Finnish schools. They don't have this happen even though they have a high gun ownership rate in the country. There are reasonable things that we can do to make a difference. It's not infringing on your Second Amendment. And the idea to have some of these weapons out there. It just doesn't make any sense. Kamala Harris, as an Attorney General, worked on this issue. She knows that it's there. No one's trying to scaremonger and say, we're taking your guns. But I ask all of you out there, do you want your school's hardened to look like a fort? Is that what we have to go��� when we know there's countries around the world that their children aren't practicing these types of drills? They're being kids. We owe it to them to get a fix. These are things that shouldn't be that difficult. You can still keep your firearms, and we can make a difference. We have to. If you're listening tonight, this breaks your heart.;102;appeal;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;O'DONNELL;New York City;Senator?;103;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;VANCE;New York City;Tim, first of all, I didn't know that your 17 year old witnessed the shooting. And I'm sorry about that. And I hope,;104;no_strategy;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;WALZ;New York City;I appreciate that.;105;no_strategy;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;VANCE;New York City;Christ, have mercy. It is awful. And I appreciate what Tim said, actually, about Finland. 'Cause I do think it illustrates some of the, frankly weird differences between our own country's gun violence problem and Finland is. Okay, first of all, we have way higher rates of mental health abuse or mental health substance abuse. We have way higher rates of depression, way higher rates of anxiety. We, unfortunately, have a mental health crisis in this country that I really do think that we need to get to the root causes of because I don't think it's the whole reason why we have such a bad gun violence problem. But I do think it's a big piece of it. Another driver of the gun violence epidemic, especially that affecting our kids. It doesn't earn as many headlines, but is the terrible gun violence problem in a lot of our big cities. And this is why we have to empower law enforcement to arrest the bad guys, put them away, and take gun offenders off the streets. I think there's a whole host of things that we can do here, but I do think at our schools, we've got to talk about more security.;106;presentation;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;O'DONNELL;New York City;Senator, thank you. Governor, you previously opposed an assault weapons ban, but only later in your political career did you change your position. Why?;107;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;WALZ;New York City;Yeah. I sat in that office with those Sandy Hook parents. I've become friends with school shooters. I've seen it. Look, the NRA. I was the NRA guy for a long time. They used to teach gun safety. I'm of an age where my shotgun was in my car so I could pheasant hunt after football practice. That's not where we live today. And several things I want to mention on this is talking about cities and where it's at. The number one, where the most firearm deaths happen in Minnesota are rural suicides. And we have an epidemic of children getting guns and shooting themselves. And so we have, and we should look at all of the issues, making sure folks have healthcare and all that. But I want to be very careful. This idea of stigmatizing mental health, just because you have a mental health issue doesn't mean you're violent. And I think what we end up doing is we start looking for a scapegoat. Sometimes it just is the guns. It's just the guns. And there are things that you can do about it. But I do think that this is one, and I think this is a healthy conversation. I think there's a capacity to find solutions on this that work, protect Second Amendment, protect our children. That's our priority.;108;appeal;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;O'DONNELL;New York City;Gentlemen, thank you. Margaret.;109;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;BRENNAN;New York City;Thank you, Norah. Let's turn now to the top contributor to inflation, the high cost of housing and rent. There's a shortage of more than 4 million homes in the United States and this contributes to the high housing crisis. Governor Walz, the Harris campaign promises a $25,000 down payment assistance for first time homebuyers and a $10,000 tax credit. They also promise to build 3 million new homes. Where are you building these new homes and won't handing out that kind of money just drive up prices higher?;110;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;WALZ;New York City;No, it's not handing out. First, let me say this, this issue of housing. And I think those of you listening on this. The problem we've had is that we've got a lot of folks that see housing as another commodity. It can be bought up. It can be shifted. It can be moved around. Those are not folks living in those houses. Those of you listening tonight, that house is a big deal. I bought and owned one house in my life. My mom still lives in the house where I was. And when I think of a house, I'm thinking of Christmas services after midnight Mass, where you go with your family. We need to make it more affordable. And one of the things, as I said, this program that the Vice President is pushing forward and bringing a new way of approaching. This is something we're doing in Minnesota from that lead. We in the state invested in making sure our housing was the biggest investment that we'd ever made in housing. It starts to make it easier. We cut some of the red tape. Local folks, look, we can't do at the Federal level, but local folks make it easier to build those homes. And then that down payment assistance. I can tell all of you out there, one of the, certainly for me, using the GI bill was one thing, but a veteran's home loan, the big thing about a veteran's home loan is you don't have to pay the down payment. Those are things that make it there. Now, look, you're going to pay it back and you're going to pay your mortgage. Those are things that we know in the long run, the appreciated value, the generational wealth that's created from it. And I will give Minneapolis an example. Minneapolis is the one city where we've seen the lowest inflation rates. We've seen a 12% increase in stock because we put some of these things in. And we're implementing a state program to make sure we give some of that down payment assistance. We get it back from people, because here's what we know. People with stable housing end up with stable jobs. People with stable housing have their kids able to get to school. All of those things in the long run, end up saving our money. And that's the thing that I think we should be able to find some common ground in. But we can't blame immigrants for the only reason that's not the case that's happening in many cities. The fact of the matter is, is that we don't have enough naturally affordable housing, but we can make sure that the government's there to help kickstart it, create that, create that base.;111;presentation;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;BRENNAN;New York City;Governor, your time is up. Senator Vance, as far as your campaign's position, the promise is to seize federal lands to build homes, remove regulation, provide tax breaks, and cut back on immigration, which you say pushes up prices. Where are you going to build all the new homes you're promising? And what part of any of this plan will provide immediate relief? You have two minutes.;112;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;VANCE;New York City;Well, first of all, Tim just said something that I agree with. We don't want to blame immigrants for higher housing prices. But we do want to blame Kamala Harris for letting in millions of illegal aliens into this country���;113;accusation;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;WALZ;New York City;Pass the bill.;114;appeal;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;VANCE;New York City;"���which does drive up costs, Tim. Twenty-five million illegal aliens competing with Americans for scarce homes is one of the most significant drivers of home prices in the country. It's why we have massive increases in home prices that have happened right alongside massive increases in illegal alien, alien populations under Kamala Harris's leadership. Now, Tim just mentioned a bunch of ideas. Now, some of those ideas I actually think are halfway decent, and some of them I disagree with. But the most important thing here is Kamala Harris is not running as a newcomer to politics. She is the sitting Vice President. If she wants to enact all of these policies to make housing more affordable, I invite her to use the office that the American people already gave her, not sit around and campaign and do nothing while Americans find the American Dream of home ownership completely unaffordable. Now, you asked Margaret what would immediately change the equation for American citizens? If you lower energy prices. As Donald Trump says, ""Drill, baby, drill."" One of the biggest drivers of housing costs, aside from illegal immigration, is think about it: if a truck driver is paying 40% more for diesel, then the lumber he's delivering to the job site to build the house is also going to become a lot more expensive. If we open up American energy, you will get immediate pricing release, relief, for American citizens, not, by the way, just in housing, but in a whole host of other economic goods too.";115;accusation;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;BRENNAN;New York City;Senator Vance, you still have 23 seconds there. Do you want to answer?;116;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;WALZ;New York City;Can I have it?;117;no_strategy;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;BRENNAN;New York City;Where, Governor, we will get to you in a moment. But, Senator, where are you going to seize the federal lands. Can you clarify?;118;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;VANCE;New York City;Well, what Donald Trump has said is we have a lot of federal lands that aren't being used for anything. They're not being used for national parks. They're not being used. And they could be places where we build a lot of housing. And I do think that we should be opening up building in this country. We have a lot of land that could be used. We have a lot of Americans that need homes. We should be kicking out illegal immigrants who are competing for those homes, and we should be building more homes for the American citizens who deserve to be here.;119;presentation;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;BRENNAN;New York City;Senator, your time is up. Governor, I do want to let you respond to the allegation that the Vice President is letting in migrants;120;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;WALZ;New York City;Well, of course, that's not true. And again, you have the facts. I guess we agreed not to fact check. I'll check it. That, look, crossings are down compared to when Donald Trump left office. But it's, again, blaming and not trying to find the solution. I was going to ask, though, on this question, are we going to drill and build houses in the same federal land. And I think when people hear federal lands, these are really important pieces of land. Now, Minnesota doesn't have a lot of federal lands. I know in the western part of the countries we do. There's not a lot of federal lands in and around Minneapolis, for example. So the issue is, I don't understand the federal lands issue unless we see this. And I worry about this as someone who cares deeply about our national parks and our federal lands. Look, Minnesota, we protect these things. We've got about 20% of the world's fresh water. These lands protect. They're there for a reason. They belong to all of us. But again, this is when you view housing and you view these things as commodities, like there's a chance to make money here. Let's take this federal land and let's sell it to people for that. I think there's better ways to do this. We've seen it in Minnesota. We're able to refurbish some of these houses. We're able to make some investments, that gets people in. And I'm still on the fact, on this, economist, Senator Vance, you said you don't like the economist, which economists are saying that it is immigrants that's adding to the cost.;121;self-justification;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;BRENNAN;New York City;Governor, governor, your time is, your time is up.;122;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;WALZ;New York City;Sorry.;123;no_strategy;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;BRENNAN;New York City;But, Senator, on that point, I'd like for you to clarify. There are many contributing factors to high housing costs. What evidence do you have that migrants are part of this problem?;124;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;VANCE;New York City;Well, there's a Federal Reserve study that we're happy to share after the debate. We'll put it up on social media. Actually, that really drills down on the connection between increased levels of migration, especially illegal immigration, and higher housing prices. Now, of course, Margaret, that's not the entire driver of higher housing prices. It's also the regulatory regime of Kamala Harris. Look, we are a country of builders. We're a country of doers. We're a country of explorers. But we increasingly have a Federal administration that makes it harder to develop our resources, makes it harder to build things, and wants to throw people in jail for not doing everything exactly as Kamala Harris says that they have to do. And what that means is that you have a lot of people who would love to build homes who aren't able to build homes. I actually agree with Tim Walz. We should get out of this idea of housing as a commodity. But the thing that has most turned housing into a commodity is giving it away to millions upon millions of people who have no legal right to be here.;125;accusation;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;WALZ;New York City;What are the federal regulations? I deal with this as a Governor.;126;presentation;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;BRENNAN;New York City;You can very quickly reply.;127;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;WALZ;New York City;I'm sorry. I get this as a Governor, and I don't necessarily disagree with that, that in some cases, many of those are local, many of them are state. I don't know which ones are federal, but I think whenever we talk regulations, people think they can get rid of them. I think you want to be able to get out of your house in a fire. I think you want to make sure that it's fireproof and those types of things. So which are the regulations? Because the vice president's not responsible for those. Congress writes those.;128;self-justification;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;BRENNAN;New York City;Governor, thank you, gentlemen. We have a lot to get through. You're passionate about the housing crisis. I can tell. But Norah?;129;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;O'DONNELL;New York City;Thank you. One of the top problems facing Americans is the high cost of health care. Senator Vance, at the last Presidential debate, former President Trump was asked about replacing the Affordable Care act. In response, he said, I have concepts of a plan. Since then, Senator, you've talked about changing how chronically ill Americans get health insurance. Can you explain how that would work? And can you guarantee that Americans with pre-existing conditions won't pay more? I'll give you two minutes.;130;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;VANCE;New York City;"Well, of course, we're going to cover Americans with pre-existing conditions. In fact, a lot of my family members have gotten health care, I believe, you know, members of my family actually got private health insurance, at least, for the first time, switched off of Medicaid onto private insurance for the first time, under Donald Trump's leadership. And I think that, you know, a lot of people have criticized this ""concepts of a plan"" remark. I think it's very simple common sense. I think, as Tim Walz knows from twelve years in Congress, you're not going to propose a 900 page bill standing on a debate stage. It would bore everybody to tears and it wouldn't actually mean anything because part of this is the give and take of bipartisan negotiation. Now, when Donald Trump was actually President, and again, he has a record to be proud of, prescription drugs fell in 2018 for the first time in a very long time. Under Kamala Harris's leadership, prescription drugs are up about 7%. Under Donald Trump's entire four years, they were up about one and a half percent. He introduced pricing transparency. Think about healthcare. You go into a hospital, you try to buy something, and nobody knows what it actually costs. That price transparency will actually give American consumers a little bit more choice and will also drive down costs. And we talked about, you know, the reinsurance regulations is what I was talking about. Look, Donald Trump has said that if we allow states to experiment a little bit on how to cover both the chronically ill, but the non chronically ill. It's not just a plan. He actually implemented some of these regulations when he was President of the United States. And I think you can make a really good argument that it salvaged Obamacare, which was doing disastrously until Donald Trump came along. I think this is an important point about President Trump. Of course, you don't have to agree with everything that President Trump has ever said or ever done, but when Obamacare was crushing under the weight of its own regulatory burden and healthcare costs, Donald Trump could have destroyed the program. Instead, he worked in a bipartisan way to ensure that Americans had access to affordable care. It's not perfect, of course, and there's so much more that we can do. But I think that Donald Trump has earned the right to put in place some better healthcare policies. He's earned it because he did it successfully the first time.";131;presentation;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;O'DONNELL;New York City;Governor.;132;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;WALZ;New York City;"All right, here's where being an old guy gives you some history. I was there at the creation of the ACA, and the reason it was so important is I come from a major healthcare state, home of the Mayo Clinic, home to Medical Alley, 3M, Medtronic, all of those. We understand healthcare. It's why we're ranked first on affordability and accessibility and quality of health care. And so what I know is under Kamala Harris, more people are covered than they have before. Those of you listening, this is critical to you. Now, Donald Trump all of a sudden wants you��� go back and remember this. He ran on, the first thing he was going to do on day one, was to repeal Obamacare. On day one, he tried to sign an executive order to repeal the ACA. He signed onto a lawsuit to repeal the ACA, but lost at the Supreme Court. And he would have repealed the ACA had it not been for the courage of John McCain to save that bill. Now fast forward. What that means to you is you lose your pre-existing conditions if you're sitting at home and you got asthma, too bad. If you're a woman, probably not. Broke your foot during football, might kick you out. Your kids get kicked out when they're 26. Kamala Harris negotiated drug prices for the first time with Medicare. We have ten drugs that will come online, the most common ones that'll be there. But look, this issue, and when Donald Trump said, ""I've got a concept of a plan,"" it cracked me up as a fourth grade teacher because my kids would have never given me that. But what Senator Vance just explained might be worse than a concept, because what he explained is pre-Obamacare. And I'll make this as simple as possible because I have done this for a long time. What they're saying is if you're healthy, why should you be paying more? So what they're going to do is let insurance companies pick who they insure. Because guess what happens? You pay your premium. It's not much. They figure they're not going to have to pay out to you. But those of you a little older, gray, you know, got cancer? You're going to get kicked out of it. That's why the system didn't work. Kamala Harris will protect and enhance the ACA.";133;presentation;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;O'DONNELL;New York City;Governor, thank you. Senator, you have not yet explained how you would protect people with preexisting conditions, or laid out that plan.;134;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;VANCE;New York City;Well, look, we currently have laws and regulations in place, in place right now that protect people with preexisting conditions. We want to keep those regulations in place, but we also want to make the health insurance marketplace function a little bit better. Now, what Governor Walz just said is actually not true. A lot of what happened and the reason that Obamacare was crushing under its own weight is that a lot of young and healthy people were leaving the exchanges. Donald Trump actually helped address that problem, and he did so in a way that preserved people's access to coverage who had preexisting conditions. But again, something that these guys do, is they make a lot of claims about if Donald Trump becomes President, all of these terrible consequences are going to ensue. But in reality, Donald Trump was President. Inflation was low, take home pay was higher, and he saved the very program from a Democratic administration that was collapsing and would have collapsed absent his leadership. He did his job, which is govern in a bipartisan way and get results, not just complain about problems, but actually solve them.;135;presentation;accusation
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;O'DONNELL;New York City;Governor, did enrollment under the Affordable Care Act go up under the Trump Administration?;136;-;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;WALZ;New York City;It's higher now that we've seen it go up. Look, people are using it. The system works. And the question about this of young people or whatever, that's the individual mandate piece of this. And Republicans fought tooth and nail, saying, well, Americans should be free to do this. Well, then what happens?;137;presentation;
Vice Presidential Debate in New York City;https://www.presidency.ucsb.edu/documents/vice-presidential-debate-new-york-city;General Election;2024-10-01;VANCE;New York City;You think the individual mandate's a good idea?;138;-;
